,Movie name,budget
0,Avengers: Endgame,"$400,000,000"
1,Pirates of the Caribbean: On Stranger Tides,"$379,000,000"
2,Avengers: Age of Ultron,"$365,000,000"
3,Star Wars Ep. VII: The Force Awakens,"$306,000,000"
4,Avengers: Infinity War,"$300,000,000"
5,Pirates of the Caribbean: At Worldâs End,"$300,000,000"
6,Justice League,"$300,000,000"
7,Spectre,"$300,000,000"
8,Star Wars: The Rise of Skywalker,"$275,000,000"
9,Solo: A Star Wars Story,"$275,000,000"
10,John Carter,"$263,700,000"
11,Batman v Superman: Dawn of Justice,"$263,000,000"
12,The Lion King,"$260,000,000"
13,Tangled,"$260,000,000"
14,Spider-Man 3,"$258,000,000"
15,Captain America: Civil War,"$250,000,000"
16,Harry Potter and the Half-Blood Prince,"$250,000,000"
17,The Hobbit: The Desolation of Smaug,"$250,000,000"
18,The Hobbit: The Battle of the Five Armies,"$250,000,000"
19,The Fate of the Furious,"$250,000,000"
20,No Time to Die,"$250,000,000"
21,Avatar,"$237,000,000"
22,Superman Returns,"$232,000,000"
23,The Dark Knight Rises,"$230,000,000"
24,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000"
25,Quantum of Solace,"$230,000,000"
26,The Avengers,"$225,000,000"
27,Pirates of the Caribbean: Dead Manâs Chest,"$225,000,000"
28,Man of Steel,"$225,000,000"
29,The Chronicles of Narnia: Prince Caspian,"$225,000,000"
30,The Lone Ranger,"$225,000,000"
31,The Amazing Spider-Man,"$220,000,000"
32,Battleship,"$220,000,000"
33,Transformers: The Last Knight,"$217,000,000"
34,Jurassic World,"$215,000,000"
35,Men in Black 3,"$215,000,000"
36,Transformers: Revenge of the Fallen,"$210,000,000"
37,Transformers: Age of Extinction,"$210,000,000"
38,X-Men: The Last Stand,"$210,000,000"
39,Robin Hood,"$210,000,000"
40,King Kong,"$207,000,000"
41,The Golden Compass,"$205,000,000"
42,Tenet,"$205,000,000"
43,Black Panther,"$200,000,000"
44,Titanic,"$200,000,000"
45,Star Wars Ep. VIII: The Last Jedi,"$200,000,000"
46,Incredibles 2,"$200,000,000"
47,Rogue One: A Star Wars Story,"$200,000,000"
48,Finding Dory,"$200,000,000"
49,Toy Story 4,"$200,000,000"
50,Toy Story 3,"$200,000,000"
51,Iron Man 3,"$200,000,000"
52,Guardians of the Galaxy Vol 2,"$200,000,000"
53,Spider-Man 2,"$200,000,000"
54,Alice in Wonderland,"$200,000,000"
55,Skyfall,"$200,000,000"
56,The Hobbit: An Unexpected Journey,"$200,000,000"
57,Monsters University,"$200,000,000"
58,Oz the Great and Powerful,"$200,000,000"
59,X-Men: Days of Future Past,"$200,000,000"
60,The Amazing Spider-Man 2,"$200,000,000"
61,Cars 2,"$200,000,000"
62,Black Widow,"$200,000,000"
63,Fast & Furious Presents: Hobbs & Shaw,"$200,000,000"
64,Tron: Legacy,"$200,000,000"
65,2012,"$200,000,000"
66,Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000"
67,Terminator Salvation,"$200,000,000"
68,Green Lantern,"$200,000,000"
69,Prince of Persia: Sands of Time,"$200,000,000"
70,Dark Phoenix,"$200,000,000"
71,Onward,"$200,000,000"
72,Wonder Woman 1984,"$200,000,000"
73,Mulan,"$200,000,000"
74,Eternals,"$200,000,000"
75,Transformers: Dark of the Moon,"$195,000,000"
76,The Mummy,"$195,000,000"
77,Jack the Giant Slayer,"$195,000,000"
78,Furious 7,"$190,000,000"
79,Star Trek Into Darkness,"$190,000,000"
80,World War Z,"$190,000,000"
81,The Great Gatsby,"$190,000,000"
82,Disneyâs A Christmas Carol,"$190,000,000"
83,Pacific Rim,"$190,000,000"
84,The Good Dinosaur,"$187,500,000"
85,Iron Man,"$186,000,000"
86,The Dark Knight,"$185,000,000"
87,Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000"
88,Brave,"$185,000,000"
89,Kong: Skull Island,"$185,000,000"
90,Star Trek Beyond,"$185,000,000"
91,Maleficent: Mistress of Evil,"$185,000,000"
92,Blade Runner 2049,"$185,000,000"
93,Terminator: Dark Fate,"$185,000,000"
94,The Suicide Squad,"$185,000,000"
95,Aladdin,"$182,000,000"
96,Thor: Ragnarok,"$180,000,000"
97,"The Chronicles of Narnia: The Lion, the Witch a…","$180,000,000"
98,Maleficent,"$180,000,000"
99,Fantastic Beasts and Where to Find Them,"$180,000,000"
0,WALL-E,"$180,000,000"
1,Rush Hour 3,"$180,000,000"
2,The Legend of Tarzan,"$180,000,000"
3,Hugo,"$180,000,000"
4,Valerian and the City of a Thousand Planets,"$180,000,000"
5,Jupiter Ascending,"$179,000,000"
6,Mission: ImpossibleâFallout,"$178,000,000"
7,X-Men: Apocalypse,"$178,000,000"
8,The Meg,"$178,000,000"
9,Edge of Tomorrow,"$178,000,000"
10,Captain Marvel,"$175,000,000"
11,The Jungle Book,"$175,000,000"
12,Inside Out,"$175,000,000"
13,Spider-Man: Homecoming,"$175,000,000"
14,Suicide Squad,"$175,000,000"
15,Up,"$175,000,000"
16,Coco,"$175,000,000"
17,Ralph Breaks The Internet,"$175,000,000"
18,Monsters vs. Aliens,"$175,000,000"
19,Cars 3,"$175,000,000"
20,G.I. Joe: The Rise of Cobra,"$175,000,000"
21,Wild Wild West,"$175,000,000"
22,The Mummy: Tomb of the Dragon Emperor,"$175,000,000"
23,Evan Almighty,"$175,000,000"
24,Waterworld,"$175,000,000"
25,Dolittle,"$175,000,000"
26,King Arthur: Legend of the Sword,"$175,000,000"
27,47 Ronin,"$175,000,000"
28,Jurassic World: Fallen Kingdom,"$170,000,000"
29,Guardians of the Galaxy,"$170,000,000"
30,Iron Man 2,"$170,000,000"
31,Captain America: The Winter Soldier,"$170,000,000"
32,Dawn of the Planet of the Apes,"$170,000,000"
33,The Polar Express,"$170,000,000"
34,Snow White and the Huntsman,"$170,000,000"
35,Terminator 3: Rise of the Machines,"$170,000,000"
36,Van Helsing,"$170,000,000"
37,Dumbo,"$170,000,000"
38,Godzilla: King of the Monsters,"$170,000,000"
39,Tomorrowland,"$170,000,000"
40,Alita: Battle Angel,"$170,000,000"
41,Alice Through the Looking Glass,"$170,000,000"
42,Shrek Forever After,"$165,000,000"
43,Doctor Strange,"$165,000,000"
44,Big Hero 6,"$165,000,000"
45,How to Train Your Dragon,"$165,000,000"
46,Wreck-It Ralph,"$165,000,000"
47,Interstellar,"$165,000,000"
48,Independence Day: Resurgence,"$165,000,000"
49,Dune,"$165,000,000"
50,Cowboys and Aliens,"$163,000,000"
51,Beauty and the Beast,"$160,000,000"
52,Spider-Man: Far From Home,"$160,000,000"
53,Aquaman,"$160,000,000"
54,Shrek the Third,"$160,000,000"
55,Inception,"$160,000,000"
56,The Hunger Games: Mockingjay - Part 2,"$160,000,000"
57,Fast and Furious 6,"$160,000,000"
58,Godzilla,"$160,000,000"
59,X-Men: First Class,"$160,000,000"
60,The Curious Case of Benjamin Button,"$160,000,000"
61,The Sorcerer's Apprentice,"$160,000,000"
62,Poseidon,"$160,000,000"
63,Warcraft,"$160,000,000"
64,The Irishman,"$159,000,000"
65,Deepwater Horizon,"$156,000,000"
66,The Chronicles of Narnia: The Voyage of the Daw…,"$155,000,000"
67,Godzilla vs. Kong,"$155,000,000"
68,Terminator: Genisys,"$155,000,000"
69,Pacific Rim: Uprising,"$155,000,000"
70,Alexander,"$155,000,000"
71,War for the Planet of the Apes,"$152,000,000"
72,Pearl Harbor,"$151,500,000"
73,Transformers,"$151,000,000"
74,Frozen II,"$150,000,000"
75,Wonder Woman,"$150,000,000"
76,Frozen,"$150,000,000"
77,Zootopia,"$150,000,000"
78,Harry Potter and the Order of the Phoenix,"$150,000,000"
79,Harry Potter and the Goblet of Fire,"$150,000,000"
80,The Matrix Reloaded,"$150,000,000"
81,I am Legend,"$150,000,000"
82,Moana,"$150,000,000"
83,Hancock,"$150,000,000"
84,Shang-Chi and the Legend of the Ten Rings,"$150,000,000"
85,Charlie and the Chocolate Factory,"$150,000,000"
86,Ratatouille,"$150,000,000"
87,Thor: The Dark World,"$150,000,000"
88,Batman Begins,"$150,000,000"
89,Mission: ImpossibleâRogue Nation,"$150,000,000"
90,Dunkirk,"$150,000,000"
91,Thor,"$150,000,000"
92,Madagascar: Escape 2 Africa,"$150,000,000"
93,X-Men Origins: Wolverine,"$150,000,000"
94,Night at the Museum: Battle of the Smithsonian,"$150,000,000"
95,Kung Fu Panda 2,"$150,000,000"
96,Mad Max: Fury Road,"$150,000,000"
97,PokÃ©mon: Detective Pikachu,"$150,000,000"
98,The Matrix Revolutions,"$150,000,000"
99,Ready Player One,"$150,000,000"
0,Chicken Little,"$150,000,000"
1,Mission: Impossible III,"$150,000,000"
2,Angels & Demons,"$150,000,000"
3,Troy,"$150,000,000"
4,The Last Airbender,"$150,000,000"
5,Bee Movie,"$150,000,000"
6,G-Force,"$150,000,000"
7,Bolt,"$150,000,000"
8,Wrath of the Titans,"$150,000,000"
9,Beowulf,"$150,000,000"
10,Dark Shadows,"$150,000,000"
11,White House Down,"$150,000,000"
12,Space Jam: A New Legacy,"$150,000,000"
13,The Wolfman,"$150,000,000"
14,The Great Wall,"$150,000,000"
15,Pan,"$150,000,000"
16,Mars Needs Moms,"$150,000,000"
17,Red Notice,"$150,000,000"
18,Moonfall,"$150,000,000"
19,Flushed Away,"$149,000,000"
20,Madagascar 3: Europe's Most Wanted,"$145,000,000"
